no;dataset;method;b;se
50;17;MI_T;0.655124843;0.124330886
51;17;MI_LOGT;0.601840377;0.128816366
52;18;CC;0.541277289;0.152030766
53;18;MI_T;0.581021905;0.123214699
54;18;MI_LOGT;0.525692225;0.157577261
55;19;CC;0.55579263;0.201433927
56;19;MI_T;0.459705323;0.215711579
57;19;MI_LOGT;0.556572258;0.169066414
58;20;CC;0.271311522;0.146556914
59;20;MI_T;0.333566517;0.131309107
60;20;MI_LOGT;0.296081007;0.131565452
61;21;CC;0.640566826;0.145377636
62;21;MI_T;0.602185726;0.139707193
63;21;MI_LOGT;0.612874091;0.125630572
64;22;CC;0.293134809;0.143758342
65;22;MI_T;0.361361206;0.127440855
66;22;MI_LOGT;0.344703197;0.126043364
67;23;CC;0.464659601;0.13268663
68;23;MI_T;0.479058266;0.116333745
69;23;MI_LOGT;0.477425307;0.116792813
70;24;CC;0.607596576;0.132689238
71;24;MI_T;0.590441406;0.110867217
72;24;MI_LOGT;0.617910624;0.128539369
73;25;CC;0.518324792;0.140723646
74;25;MI_T;0.535254717;0.134621009
75;25;MI_LOGT;0.555014193;0.1265219
76;26;CC;0.429533154;0.166691214
77;26;MI_T;0.511859715;0.142270014
78;26;MI_LOGT;0.490029305;0.147406161
79;27;CC;0.383195043;0.155146584
80;27;MI_T;0.353011549;0.12517786
81;27;MI_LOGT;0.398086399;0.117241509
82;28;CC;0.550838768;0.155402929
83;28;MI_T;0.532454967;0.150550261
84;28;MI_LOGT;0.532387078;0.151267737
85;29;CC;0.457039863;0.140069827
86;29;MI_T;0.452188611;0.12215133
87;29;MI_LOGT;0.398710936;0.118344128
88;30;CC;0.497765481;0.167024642
89;30;MI_T;0.495399982;0.146877289
90;30;MI_LOGT;0.501006782;0.135136142
91;31;CC;0.474736601;0.145062894
92;31;MI_T;0.543184578;0.147390574
93;31;MI_LOGT;0.556220353;0.122921035
94;32;CC;0.450053334;0.130018249
95;32;MI_T;0.472900987;0.129098445
96;32;MI_LOGT;0.437065154;0.141933203
97;33;CC;0.921832621;0.153283834
98;33;MI_T;0.705533862;0.130589202
99;33;MI_LOGT;0.672704756;0.163880348
100;34;CC;0.624821842;0.155063227
101;34;MI_T;0.61300981;0.141748413
102;34;MI_LOGT;0.501049459;0.140388221
103;35;CC;0.676430762;0.136857554
104;35;MI_T;0.514729381;0.156576604
105;35;MI_LOGT;0.564306021;0.121824503
106;36;CC;0.272169322;0.14353016
107;36;MI_T;0.30900678;0.120261252
108;36;MI_LOGT;0.272531122;0.129069909
109;37;CC;0.304664284;0.165240303
110;37;MI_T;0.366410822;0.144446671
111;37;MI_LOGT;0.427087247;0.135762721
112;38;CC;0.500635982;0.160259575
113;38;MI_T;0.426682353;0.129559368
114;38;MI_LOGT;0.458441228;0.130310833
115;39;CC;0.747269213;0.16220662
116;39;MI_T;0.684120417;0.141242921
117;39;MI_LOGT;0.645209849;0.140680894
118;40;CC;0.282567471;0.156282112
119;40;MI_T;0.404198557;0.131768793
120;40;MI_LOGT;0.397598326;0.159943566
121;41;CC;0.526466787;0.109457724
122;41;MI_T;0.465307295;0.09673214
123;41;MI_LOGT;0.457451969;0.116326183
124;42;CC;0.459512234;0.139939964
125;42;MI_T;0.379494131;0.131251216
126;42;MI_LOGT;0.37844193;0.154777586
127;43;CC;0.819904089;0.134303272
128;43;MI_T;0.811027706;0.125491127
129;43;MI_LOGT;0.769440949;0.11345651
130;44;CC;0.558396161;0.162995845
131;44;MI_T;0.549684227;0.145222485
132;44;MI_LOGT;0.55868423;0.15000318
133;45;CC;0.664486945;0.146060884
134;45;MI_T;0.614166677;0.13450554
135;45;MI_LOGT;0.58156991;0.131279796
136;46;CC;0.522901177;0.132445529
137;46;MI_T;0.571212232;0.111421756
138;46;MI_LOGT;0.58308357;0.101753131
139;47;CC;0.080067463;0.130202159
140;47;MI_T;0.153878018;0.107378751
141;47;MI_LOGT;0.146035105;0.114458144
142;48;CC;0.411354125;0.150428787
143;48;MI_T;0.446550965;0.118238568
144;48;MI_LOGT;0.40751338;0.117735803
145;49;CC;0.613779604;0.164881214
146;49;MI_T;0.705339015;0.128238007
147;49;MI_LOGT;0.684530497;0.121493712
148;50;CC;0.774735272;0.166375101
149;50;MI_T;0.665466607;0.143766806
150;50;MI_LOGT;0.626776695;0.139333695
151;51;CC;0.635824144;0.162803173
152;51;MI_T;0.683309913;0.147076949
153;51;MI_LOGT;0.681196928;0.138676018
154;52;CC;0.482260764;0.132187754
155;52;MI_T;0.45931077;0.126098588
156;52;MI_LOGT;0.423824459;0.131777376
157;53;CC;0.483958304;0.11975731
158;53;MI_T;0.525373161;0.13277024
159;53;MI_LOGT;0.518036604;0.112466305
160;54;CC;0.615400612;0.147187471
161;54;MI_T;0.529387951;0.130103409
162;54;MI_LOGT;0.553862274;0.125079736
163;55;CC;0.506117165;0.130129933
164;55;MI_T;0.475385845;0.128072202
165;55;MI_LOGT;0.498933494;0.113495544
166;56;CC;0.423254609;0.142892301
167;56;MI_T;0.217106551;0.143087
168;56;MI_LOGT;0.287285894;0.12514618
169;57;CC;0.399076581;0.141693234
170;57;MI_T;0.301160514;0.151853099
171;57;MI_LOGT;0.383611053;0.157129884
172;58;CC;0.45449239;0.138004005
173;58;MI_T;0.470499784;0.134546041
174;58;MI_LOGT;0.43861267;0.12670207
175;59;CC;0.236530155;0.152010009
176;59;MI_T;0.308703512;0.129024476
177;59;MI_LOGT;0.327082485;0.132265568
178;60;CC;0.493538171;0.149518982
179;60;MI_T;0.504322767;0.133377805
180;60;MI_LOGT;0.510223031;0.11601349
181;61;CC;0.583163917;0.148560449
182;61;MI_T;0.608230174;0.120630249
183;61;MI_LOGT;0.606917679;0.121099614
184;62;CC;0.592129588;0.128236383
185;62;MI_T;0.64572078;0.108524106
186;62;MI_LOGT;0.622148931;0.124139845
187;63;CC;0.809117675;0.145728812
188;63;MI_T;0.804161549;0.130394787
189;63;MI_LOGT;0.678666353;0.135209456
190;64;CC;0.638116777;0.114777677
191;64;MI_T;0.55281204;0.100554846
192;64;MI_LOGT;0.556396842;0.127015635
193;65;CC;0.263208151;0.153125629
194;65;MI_T;0.296833336;0.135490611
195;65;MI_LOGT;0.273184389;0.137113124
196;66;CC;0.579203665;0.134208024
197;66;MI_T;0.542518258;0.118230909
198;66;MI_LOGT;0.481743068;0.156597942
199;67;CC;0.407634258;0.156693742
200;67;MI_T;0.386643291;0.126440257
201;67;MI_LOGT;0.405196309;0.135460258
202;68;CC;0.407755941;0.132915765
203;68;MI_T;0.445513427;0.106743969
204;68;MI_LOGT;0.432056606;0.115796559
205;69;CC;0.564201355;0.124025136
206;69;MI_T;0.603110075;0.115102291
207;69;MI_LOGT;0.594398975;0.104077868
208;70;CC;0.393269092;0.134817913
209;70;MI_T;0.438556135;0.129040763
210;70;MI_LOGT;0.507051885;0.119691901
211;71;CC;0.508508444;0.1386545
212;71;MI_T;0.494004428;0.133808002
213;71;MI_LOGT;0.615182936;0.134878904
214;72;CC;0.786126494;0.147631824
215;72;MI_T;0.596132755;0.118598498
216;72;MI_LOGT;0.639379859;0.135615289
217;73;CC;0.653661251;0.128339112
218;73;MI_T;0.624459803;0.133374006
219;73;MI_LOGT;0.612273216;0.142899707
220;74;CC;0.485628337;0.141111985
221;74;MI_T;0.492387772;0.124925539
222;74;MI_LOGT;0.480396122;0.126512885
223;75;CC;0.375914842;0.143588617
224;75;MI_T;0.485327244;0.12011078
225;75;MI_LOGT;0.461250484;0.130084202
226;76;CC;0.459968567;0.14890635
227;76;MI_T;0.35727644;0.137484625
228;76;MI_LOGT;0.330284923;0.112209342
229;77;CC;0.55714798;0.168305874
230;77;MI_T;0.442513913;0.129947737
231;77;MI_LOGT;0.490036249;0.176297739
232;78;CC;0.867013454;0.173660383
233;78;MI_T;0.836497545;0.145732909
234;78;MI_LOGT;0.754722476;0.169053137
235;79;CC;0.453238219;0.147302926
236;79;MI_T;0.45950982;0.138470918
237;79;MI_LOGT;0.44808808;0.119711392
238;80;CC;0.355111808;0.139178127
239;80;MI_T;0.433223069;0.142417625
240;80;MI_LOGT;0.385030597;0.116422087
241;81;CC;0.47926113;0.125660762
242;81;MI_T;0.509352505;0.113823704
243;81;MI_LOGT;0.519201458;0.110714927
244;82;CC;0.554167092;0.181174487
245;82;MI_T;0.513939559;0.146625623
246;82;MI_LOGT;0.577261031;0.156755537
247;83;CC;0.323441267;0.126003236
248;83;MI_T;0.369666368;0.119938716
249;83;MI_LOGT;0.382406503;0.11535354
250;84;CC;0.563227892;0.139977008
251;84;MI_T;0.514243484;0.142940536
252;84;MI_LOGT;0.524159074;0.132482558
253;85;CC;0.362437248;0.157861173
254;85;MI_T;0.39726159;0.149000823
255;85;MI_LOGT;0.381456196;0.116440058
256;86;CC;0.476884633;0.180236757
257;86;MI_T;0.451833576;0.143720672
258;86;MI_LOGT;0.469407439;0.156183392
259;87;CC;0.383008689;0.124361411
260;87;MI_T;0.428531021;0.147710219
261;87;MI_LOGT;0.388415217;0.128443047
262;88;CC;0.619615138;0.148280174
263;88;MI_T;0.609932601;0.13414973
264;88;MI_LOGT;0.665227056;0.127827331
265;89;CC;0.500027776;0.142460302
266;89;MI_T;0.449981898;0.119204886
267;89;MI_LOGT;0.407189459;0.123848915
268;90;CC;0.725521266;0.158750519
269;90;MI_T;0.636280596;0.123791359
270;90;MI_LOGT;0.727183163;0.131217465
271;91;CC;0.409797341;0.160101146
272;91;MI_T;0.413769364;0.15875496
273;91;MI_LOGT;0.457080781;0.145133048
274;92;CC;0.558235943;0.143508524
275;92;MI_T;0.561694682;0.116879798
276;92;MI_LOGT;0.553407013;0.116057605
277;93;CC;0.634228289;0.116606675
278;93;MI_T;0.635462224;0.120070621
279;93;MI_LOGT;0.570867598;0.105965525
280;94;CC;0.399545521;0.147766635
281;94;MI_T;0.34377408;0.118529119
282;94;MI_LOGT;0.411082745;0.128510505
283;95;CC;0.329738379;0.137879089
284;95;MI_T;0.406308264;0.118565395
285;95;MI_LOGT;0.390389055;0.112727635
286;96;CC;0.477777451;0.134212345
287;96;MI_T;0.407557428;0.109532505
288;96;MI_LOGT;0.433564126;0.121273607
289;97;CC;0.189048827;0.146051481
290;97;MI_T;0.253948092;0.15048863
291;97;MI_LOGT;0.258230776;0.123321004
292;98;CC;0.684641123;0.157512054
293;98;MI_T;0.626608431;0.144811973
294;98;MI_LOGT;0.575594544;0.154500112
295;99;CC;0.47385329;0.145588532
296;99;MI_T;0.391625017;0.121174879
297;99;MI_LOGT;0.431617498;0.111888334
298;100;CC;0.682092726;0.149428576
299;100;MI_T;0.566036642;0.14840658
300;100;MI_LOGT;0.57918179;0.131103247
301;101;CC;0.494575471;0.13620089
302;101;MI_T;0.472297907;0.135599405
303;101;MI_LOGT;0.500011265;0.116667092
304;102;CC;0.361797273;0.161288902
305;102;MI_T;0.352054268;0.12711741
306;102;MI_LOGT;0.409739256;0.123025209
307;103;CC;0.707002938;0.144353613
308;103;MI_T;0.504951298;0.141512662
309;103;MI_LOGT;0.558484137;0.152904525
310;104;CC;0.324156851;0.15757823
311;104;MI_T;0.210427329;0.120651126
312;104;MI_LOGT;0.303853869;0.161487892
313;105;CC;0.581428826;0.162492067
314;105;MI_T;0.447876275;0.158123016
315;105;MI_LOGT;0.440196574;0.123286642
316;106;CC;0.64581275;0.13941507
317;106;MI_T;0.700397015;0.115278557
318;106;MI_LOGT;0.686616957;0.117665179
319;107;CC;0.303737968;0.12958689
320;107;MI_T;0.333497345;0.114686549
321;107;MI_LOGT;0.376524806;0.133323118
322;108;CC;0.495980054;0.123326898
323;108;MI_T;0.557080507;0.118274465
324;108;MI_LOGT;0.52269572;0.122154854
325;109;CC;0.402196914;0.149143383
326;109;MI_T;0.475789815;0.133281395
327;109;MI_LOGT;0.499470085;0.130614489
328;110;CC;0.687026322;0.156162471
329;110;MI_T;0.49744904;0.131433055
330;110;MI_LOGT;0.581519842;0.136323273
331;111;CC;0.969572008;0.191254735
332;111;MI_T;0.776145875;0.152058616
333;111;MI_LOGT;0.852870226;0.160496563
334;112;CC;0.354183257;0.138094217
335;112;MI_T;0.427856684;0.119128816
336;112;MI_LOGT;0.414591044;0.120744534
337;113;CC;0.792941868;0.125841767
338;113;MI_T;0.873029828;0.11318966
339;113;MI_LOGT;0.854163408;0.107461043
340;114;CC;0.461647213;0.129045635
341;114;MI_T;0.402820557;0.111896455
342;114;MI_LOGT;0.404408842;0.144599617
343;115;CC;0.389146924;0.151067689
344;115;MI_T;0.364184141;0.112272181
345;115;MI_LOGT;0.380697846;0.115540087
346;116;CC;0.629589021;0.155901328
347;116;MI_T;0.473717391;0.123532601
348;116;MI_LOGT;0.495390445;0.129893646
349;117;CC;0.356245875;0.127323046
350;117;MI_T;0.372698545;0.120710433
351;117;MI_LOGT;0.449247599;0.157147333
352;118;CC;0.651837468;0.136446461
353;118;MI_T;0.616374016;0.129322112
354;118;MI_LOGT;0.596184134;0.123799823
355;119;CC;0.286252379;0.130402759
356;119;MI_T;0.267141908;0.106138639
357;119;MI_LOGT;0.216343716;0.102264561
358;120;CC;0.650135517;0.162444443
359;120;MI_T;0.547842145;0.158542424
360;120;MI_LOGT;0.56038481;0.176412806
361;121;CC;0.479445547;0.121281125
362;121;MI_T;0.430343449;0.097109996
363;121;MI_LOGT;0.462701768;0.095942423
364;122;CC;0.418514192;0.163194522
365;122;MI_T;0.425722837;0.146654859
366;122;MI_LOGT;0.455664396;0.154799759
367;123;CC;0.239448234;0.130255446
368;123;MI_T;0.310828596;0.140750751
369;123;MI_LOGT;0.335002005;0.112855174
370;124;CC;0.603623509;0.154673561
371;124;MI_T;0.570868552;0.127097517
372;124;MI_LOGT;0.599929392;0.143926919
373;125;CC;0.464480937;0.14149718
374;125;MI_T;0.440719694;0.11991822
375;125;MI_LOGT;0.477015555;0.163611889
376;126;CC;0.710164428;0.157286897
377;126;MI_T;0.618363917;0.132188991
378;126;MI_LOGT;0.550946116;0.134461671
379;127;CC;0.497467905;0.135056525
380;127;MI_T;0.513428926;0.121415637
381;127;MI_LOGT;0.447622925;0.130058244
382;128;CC;0.499754041;0.156705052
383;128;MI_T;0.36322847;0.109431669
384;128;MI_LOGT;0.392331928;0.143180817
385;129;CC;0.386226326;0.132140875
386;129;MI_T;0.360820532;0.110849358
387;129;MI_LOGT;0.30210188;0.104283988
388;130;CC;0.440527529;0.141231209
389;130;MI_T;0.451644391;0.136683032
390;130;MI_LOGT;0.428659409;0.133216321
391;131;CC;0.711212456;0.164943412
392;131;MI_T;0.625824094;0.145106837
393;131;MI_LOGT;0.604410112;0.175991997
394;132;CC;0.522668183;0.145158902
395;132;MI_T;0.436907351;0.134694755
396;132;MI_LOGT;0.402490914;0.130125895
397;133;CC;0.403767645;0.142781183
398;133;MI_T;0.525174439;0.136648968
399;133;MI_LOGT;0.518066406;0.141850621
400;134;CC;0.418808013;0.158112779
401;134;MI_T;0.337501824;0.146124199
402;134;MI_LOGT;0.433911592;0.147511378
403;135;CC;0.449578494;0.142807379
404;135;MI_T;0.548659086;0.118391469
405;135;MI_LOGT;0.561386049;0.128419638
406;136;CC;0.685625911;0.153849274
407;136;MI_T;0.539531469;0.116415754
408;136;MI_LOGT;0.526949644;0.123811997
409;137;CC;0.241784722;0.14535065
410;137;MI_T;0.257264286;0.142149881
411;137;MI_LOGT;0.258787543;0.129541069
412;138;CC;0.67539072;0.170500949
413;138;MI_T;0.70968169;0.146850631
414;138;MI_LOGT;0.695964456;0.153428346
415;139;CC;0.266874969;0.137305319
416;139;MI_T;0.289331347;0.16469267
417;139;MI_LOGT;0.275038689;0.118872285
418;140;CC;0.548066318;0.113111928
419;140;MI_T;0.564057827;0.093837798
420;140;MI_LOGT;0.553922653;0.100932039
421;141;CC;0.541753829;0.141467273
422;141;MI_T;0.539144576;0.126988024
423;141;MI_LOGT;0.565669119;0.124164589
424;142;CC;0.330845863;0.126542747
425;142;MI_T;0.328106374;0.122305214
426;142;MI_LOGT;0.38790071;0.128272727
427;143;CC;0.683877766;0.142035857
428;143;MI_T;0.607481182;0.125556067
429;143;MI_LOGT;0.579852045;0.120308548
430;144;CC;0.372837692;0.14135918
431;144;MI_T;0.445718676;0.122589126
432;144;MI_LOGT;0.428746432;0.159958676
433;145;CC;0.568879426;0.156457201
434;145;MI_T;0.62768209;0.13479054
435;145;MI_LOGT;0.629264712;0.126604736
436;146;CC;0.944369316;0.170728028
437;146;MI_T;0.84532696;0.147100523
438;146;MI_LOGT;0.819851995;0.187396795
439;147;CC;0.344504982;0.150562465
440;147;MI_T;0.309391558;0.128540248
441;147;MI_LOGT;0.331326991;0.117200524
442;148;CC;0.497024834;0.125126615
443;148;MI_T;0.424155116;0.118021578
444;148;MI_LOGT;0.439230293;0.121394508
445;149;CC;0.461085081;0.12814793
446;149;MI_T;0.558442891;0.115965575
447;149;MI_LOGT;0.574659765;0.106879495
448;150;CC;0.305711746;0.184921727
449;150;MI_T;0.329032063;0.169547126
450;150;MI_LOGT;0.395642877;0.170269057
451;151;CC;0.476240367;0.147025138
452;151;MI_T;0.488537103;0.162995949
453;151;MI_LOGT;0.532226563;0.134683549
454;152;CC;0.522116482;0.151241258
455;152;MI_T;0.521352887;0.138097301
456;152;MI_LOGT;0.50424391;0.130691931
457;153;CC;0.593926191;0.14853394
458;153;MI_T;0.467532665;0.122003078
459;153;MI_LOGT;0.445466965;0.120641135
460;154;CC;0.580779195;0.136018828
461;154;MI_T;0.550032854;0.124117874
462;154;MI_LOGT;0.546022296;0.123135298
463;155;CC;0.552105844;0.145309031
464;155;MI_T;0.47547698;0.121663116
465;155;MI_LOGT;0.429011762;0.137721539
466;156;CC;0.466588199;0.130097613
467;156;MI_T;0.418527037;0.106470801
468;156;MI_LOGT;0.491503567;0.111827634
469;157;CC;0.471839219;0.147653416
470;157;MI_T;0.490180671;0.140458345
471;157;MI_LOGT;0.454303056;0.113237463
472;158;CC;0.317421883;0.137853757
473;158;MI_T;0.274717212;0.124651305
474;158;MI_LOGT;0.269381016;0.138045654
475;159;CC;0.892480552;0.173907906
476;159;MI_T;0.860286951;0.228193268
477;159;MI_LOGT;0.734818816;0.19385919
478;160;CC;0.927288353;0.163543984
479;160;MI_T;0.83726871;0.162294924
480;160;MI_LOGT;0.777470887;0.17256701
481;161;CC;0.437683403;0.145540953
482;161;MI_T;0.503542364;0.149550244
483;161;MI_LOGT;0.51407063;0.15840131
484;162;CC;0.58641541;0.165816829
485;162;MI_T;0.568309486;0.130016357
486;162;MI_LOGT;0.521022379;0.125826269
487;163;CC;0.561037481;0.147671893
488;163;MI_T;0.536221743;0.146063432
489;163;MI_LOGT;0.54536742;0.115357056
490;164;CC;0.705606878;0.137350082
491;164;MI_T;0.694765627;0.120996319
492;164;MI_LOGT;0.633994341;0.128073618
493;165;CC;0.564019442;0.130699217
494;165;MI_T;0.559305072;0.116802014
495;165;MI_LOGT;0.547709227;0.120505139
496;166;CC;0.441107661;0.130922645
497;166;MI_T;0.489472449;0.116252378
498;166;MI_LOGT;0.467218727;0.114829309
499;167;CC;0.570653856;0.126182452
500;167;MI_T;0.5306952;0.121931396
501;167;MI_LOGT;0.480074942;0.125145316
502;168;CC;0.463818431;0.14996621
503;168;MI_T;0.426691592;0.13703464
504;168;MI_LOGT;0.408540159;0.145012543
505;169;CC;0.611623526;0.14651221
506;169;MI_T;0.492810905;0.121300079
507;169;MI_LOGT;0.559693575;0.155124098
508;170;CC;0.434800953;0.145504311
509;170;MI_T;0.346372038;0.162152171
510;170;MI_LOGT;0.452967912;0.130894825
511;171;CC;0.362463355;0.102391005
512;171;MI_T;0.396647841;0.104901761
513;171;MI_LOGT;0.384417117;0.091246344
514;172;CC;0.494070232;0.131242216
515;172;MI_T;0.465160728;0.108487926
516;172;MI_LOGT;0.484037012;0.142072633
517;173;CC;0.482347608;0.166629344
518;173;MI_T;0.475953549;0.135851339
519;173;MI_LOGT;0.459685624;0.147200286
520;174;CC;0.368500203;0.132985577
521;174;MI_T;0.376882225;0.117524289
522;174;MI_LOGT;0.329314739;0.126698479
523;175;CC;0.649941444;0.137966126
524;175;MI_T;0.616436183;0.108831316
525;175;MI_LOGT;0.621424079;0.104277328
526;176;CC;0.380382448;0.143504083
527;176;MI_T;0.445943743;0.118704319
528;176;MI_LOGT;0.379553735;0.121422701
529;177;CC;0.320749015;0.144153774
530;177;MI_T;0.360174507;0.13001959
531;177;MI_LOGT;0.378623605;0.133860216
532;178;CC;0.473083943;0.139602855
533;178;MI_T;0.431628197;0.140244633
534;178;MI_LOGT;0.448108077;0.110466056
535;179;CC;0.527342975;0.133838087
536;179;MI_T;0.48811686;0.127901509
537;179;MI_LOGT;0.516087472;0.120342575
538;180;CC;0.326930583;0.130602181
539;180;MI_T;0.263527036;0.121347874
540;180;MI_LOGT;0.318535894;0.139176369
541;181;CC;0.363635778;0.141569629
542;181;MI_T;0.399012536;0.126102895
543;181;MI_LOGT;0.419059992;0.145536631
544;182;CC;0.43477571;0.132909507
545;182;MI_T;0.406705409;0.118665099
546;182;MI_LOGT;0.402949452;0.140727952
547;183;CC;0.508167088;0.1268913
548;183;MI_T;0.486962318;0.113469116
549;183;MI_LOGT;0.44564572;0.104895249
550;184;CC;0.708471239;0.189370215
551;184;MI_T;0.727985263;0.16065295
552;184;MI_LOGT;0.714184403;0.161261022
553;185;CC;0.439163625;0.149203703
554;185;MI_T;0.37626338;0.113626637
555;185;MI_LOGT;0.407409102;0.131216854
556;186;CC;0.70370543;0.176648423
557;186;MI_T;0.544192433;0.147001401
558;186;MI_LOGT;0.640081704;0.127233356
559;187;CC;0.552028;0.1350068
560;187;MI_T;0.568805158;0.112622671
561;187;MI_LOGT;0.602280557;0.124564148
562;188;CC;0.463954926;0.143706605
563;188;MI_T;0.493817776;0.139029592
564;188;MI_LOGT;0.528847516;0.140475273
565;189;CC;0.622223914;0.138840854
566;189;MI_T;0.628015876;0.126335919
567;189;MI_LOGT;0.542987764;0.13308467
568;190;CC;0.276158094;0.136361584
569;190;MI_T;0.274485022;0.137701586
570;190;MI_LOGT;0.263847142;0.117660373
571;191;CC;0.452938855;0.152278289
572;191;MI_T;0.482036054;0.13074173
573;191;MI_LOGT;0.528394341;0.152188495
574;192;CC;0.280989617;0.12501505
575;192;MI_T;0.343472213;0.110469945
576;192;MI_LOGT;0.344677955;0.10968288
577;193;CC;0.564795077;0.153667971
578;193;MI_T;0.513158858;0.148902804
579;193;MI_LOGT;0.53085953;0.167722344
580;194;CC;0.692568302;0.150684148
581;194;MI_T;0.686786115;0.166425988
582;194;MI_LOGT;0.640105844;0.117196992
583;195;CC;0.19586879;0.146686196
584;195;MI_T;0.18898873;0.145119309
585;195;MI_LOGT;0.13084586;0.119135
586;196;CC;0.681052804;0.139667183
587;196;MI_T;0.617362261;0.141448781
588;196;MI_LOGT;0.534731984;0.127096996
589;197;CC;0.516991735;0.161713377
590;197;MI_T;0.507222235;0.128521428
591;197;MI_LOGT;0.530802429;0.131373852
592;198;CC;0.507187366;0.150931612
593;198;MI_T;0.533686459;0.131610319
594;198;MI_LOGT;0.535672307;0.140493482
595;199;CC;0.673529148;0.154139549
596;199;MI_T;0.671379089;0.123213761
597;199;MI_LOGT;0.667855024;0.12336091
598;200;CC;0.485904068;0.152807057
599;200;MI_T;0.454104334;0.190066546
600;200;MI_LOGT;0.472959906;0.143816903
601;201;CC;0.544625819;0.143819869
602;201;MI_T;0.505491734;0.113442071
603;201;MI_LOGT;0.500702143;0.113434747
604;202;CC;0.566030622;0.140088081
605;202;MI_T;0.560582936;0.161498219
606;202;MI_LOGT;0.595829844;0.118994884
607;203;CC;0.464060456;0.144885004
608;203;MI_T;0.545909286;0.13347736
609;203;MI_LOGT;0.58415556;0.130954742
610;204;CC;0.534567654;0.135007292
611;204;MI_T;0.548174679;0.131630138
612;204;MI_LOGT;0.517666519;0.122276738
613;205;CC;0.904022455;0.185530081
614;205;MI_T;0.697338045;0.135997146
615;205;MI_LOGT;0.805969775;0.158878565
616;206;CC;0.651464701;0.141948268
617;206;MI_T;0.569958985;0.124202684
618;206;MI_LOGT;0.604334235;0.136415675
619;207;CC;0.738339067;0.138846681
620;207;MI_T;0.770424008;0.128691688
621;207;MI_LOGT;0.735258341;0.141118199
622;208;CC;0.354012519;0.167121038
623;208;MI_T;0.353951007;0.145735592
624;208;MI_LOGT;0.321992159;0.150807381
625;209;CC;0.816211164;0.202874362
626;209;MI_T;0.702856243;0.148499668
627;209;MI_LOGT;0.611175656;0.176528662
628;210;CC;0.607244015;0.145909637
629;210;MI_T;0.636349022;0.121699445
630;210;MI_LOGT;0.747764051;0.133649334
631;211;CC;0.57194227;0.165323675
632;211;MI_T;0.463648289;0.214775503
633;211;MI_LOGT;0.534808218;0.156945348
634;212;CC;0.754147828;0.135422572
635;212;MI_T;0.712875783;0.142806828
636;212;MI_LOGT;0.734787166;0.145321101
637;213;CC;0.602553546;0.177808866
638;213;MI_T;0.599131882;0.157222077
639;213;MI_LOGT;0.520630658;0.152611241
640;214;CC;0.679686308;0.148188695
641;214;MI_T;0.529143989;0.142668456
642;214;MI_LOGT;0.493340105;0.165280551
643;215;CC;0.374833405;0.1383636
644;215;MI_T;0.442043066;0.120373785
645;215;MI_LOGT;0.430215269;0.144648179
646;216;CC;0.565685928;0.136793122
647;216;MI_T;0.567766726;0.126179501
648;216;MI_LOGT;0.542328775;0.116232678
649;217;CC;0.397091627;0.109689921
650;217;MI_T;0.430561721;0.100950345
651;217;MI_LOGT;0.417808741;0.098239832
652;218;CC;0.452511877;0.165877432
653;218;MI_T;0.530900121;0.165439442
654;218;MI_LOGT;0.489731699;0.159415603
655;219;CC;0.604029417;0.139317095
